filename,gender,speaker,gradelevel,sentence,modification,intensity,f0,f1,f2,f3,snr,spr,score,accuracy,insertion,deletion,substitution,words
FADF1AA2,F,ADF,1,AA,2,60.29,241.09,1104.45,2820.48,4249.05,2.5581,7.023411,6.6,0.6,0,3,1,10
FADF1AB2,F,ADF,1,AB,2,58.83,247.62,1141.55,2824.35,4152.87,11.8997,2.702703,6.42,0.8,2,0,1,5
FADF1AC2,F,ADF,1,AC,2,51.77,237.96,1541.78,3017.6,4340.97,-40,3.095238,6.77,0,0,1,2,5
FADF1AD2,F,ADF,1,AD,2,53.59,253.96,1439.93,2910.6,4215.24,-3.1453,2.75,7.59,0.6,0,1,1,5
FADF1AE2,F,ADF,1,AE,2,60.52,248.55,1232.77,2801.45,4119.83,-1.9062,7.926829,6.69,0.67,0,2,1,9
FADF1AF2,F,ADF,1,AF,2,63.36,247.65,1392.62,2896.62,4329.7,-0.541,3.861004,6.01,0.5,0,2,1,6
FADF1AG2,F,ADF,1,AG,2,59.01,247.17,1485.41,3026.09,4348.63,18.5481,3.457447,5.72,0.6,0,5,1,20
FADF1AH2,F,ADF,1,AH,2,60.52,237.16,1008.88,2590.92,4414.54,-40,7.272727,5.34,0.33,0,2,1,3
FADF1AI2,F,ADF,1,AI,2,59.42,226.05,1161.2,2803.54,4340.04,-1.4385,4.784689,6.31,0.6,0,0,2,5
FADF1AJ2,F,ADF,1,AJ,2,59.81,248.93,1308.45,2889.86,4322.34,8.6802,6.882591,6.17,0.71,0,2,0,7
FADF1AK2,F,ADF,1,AK,2,58.7,249.06,1379.15,2799.55,4279.81,17.6808,4.761905,6.44,0.63,0,2,1,8
FADF1AL2,F,ADF,1,AL,2,58.26,242.52,1215.32,2780.83,4324.94,10.4675,7.763975,6.73,0.86,0,1,2,7
FADF1AM2,F,ADF,1,AM,2,59.84,246.03,1224.38,2856.16,4226.18,11.2455,3.97878,5.96,0.29,0,2,2,7
FADF1AN2,F,ADF,1,AN,2,56.73,254.1,1320.66,2758.49,4245.31,8.3155,1.970443,5.8,0.2,3,0,4,5
