filename,originalduration,speakingduration,begintime,endtime,gradelevel,intensity,f0,f1,f2,f3,snr,spr,score,accuracy,insertion,deletion,substitution,words
ks400xx0,98.36,93.58,2.39,95.97,4,64.12,199.82,1848.87,3536.4,4675.45,-17.1059,6.7565811522871,7.6,0.62,24,52,8,222
ks40axx0,82.13,80.15,0.99,81.14,4,60.98,293.906523348919,1563.87,3408,4756.56,-16.624,6.75897571519931,3.42,0.27,104,23,12,190
ks40hxx0,107.86,106.6,0.63,107.23,4,50.64,216.16,2072.62,3702.33,5090.46,-20.3577,7.64411667443784,7.77,0.74,15,17,9,156
ks40vxx0,64.91,63.31,0.8,64.11,4,65.7,334.317887041979,1598.93,3397.93,4780.31,-15.7721,6.04300234994403,4.59,0.28,76,27,8,154
ks412xx0,66.3,66.3,0,66.3,4,58.08,173.79,1837.28,3554.21,4852.99,-18.0828,6.7297540065586,6.69,0.6,23,18,9,126
ks42vxx0,77.13,74.21,1.46,75.67,4,57.8,227.02,1357.14,3193.7,4673.65,-1.7989,6.92522483866393,7.01,0.64,33,13,14,166
ks437xx0,98.24,96.66,0.79,97.45,4,61.21,216.42,1322.73,3192.33,4648.64,0.963,8.2348568240231,6.72,0.73,25,13,11,182
ks43hxx0,65.67,63.21,1.23,64.44,4,53.37,239.24,1361.4,3187.89,4661.83,-3.9559,8.257182963184,6.34,0.78,2,9,15,120
ks43rxx0,91.1,91.1,0,91.1,4,54.82,193.08,1589.95,3333.45,4803.19,-2.2855,7.01686074743105,7.31,0.66,30,28,7,190
ks440xx0,84.8,83,0.9,83.9,4,50.76,196.19,1553.23,3302.66,4722.09,-5.8715,6.94905411993047,6.17,0.44,80,26,12,211
ks500xx0,60.45,58.95,0.75,59.7,5,72.43,188.89,1411.1,3099.26,4487.44,-5.7759,6.51855950134576,6.44,0.6,25,4,14,108
ks509xx0,68.9,68.9,0,68.9,5,70,185.3,1433.31,3106.94,4471.56,-9.4586,6.66207202794281,7.73,0.63,19,9,19,126
ks50ixx0,97.83,95.91,0.96,96.87,5,73.94,216.14,1416.22,3204.81,4576.95,-6.8198,6.75689456174331,5.96,0.48,65,28,10,198
ks50sxx0,101.89,99.81,1.04,100.85,5,72.6,196.34,1525.21,3165.85,4555.66,-9.768,6.87723524762583,6.8,0.67,16,25,27,205
ks50yxx0,72.37,72.37,0,72.37,5,60.11,217.5,1629.77,3310.86,4643.44,-16.6044,6.74142119546051,6.51,0.41,78,12,14,177
ks52sxx0,112.85,109.51,1.67,111.18,5,54.06,301.539357156311,1633.33,3403.01,4876,-2.5549,7.09082985650251,3.29,0.27,104,25,17,200
ks535xx0,92.08,89.16,1.46,90.62,5,57.49,186.57,1587.56,3341.65,4807.3,-4.1094,7.42478568873342,6.23,0.66,5,11,27,127
ks53dxx0,90.78,90.78,0,90.78,5,44.96,219.17,1813.71,3528.66,4912.75,-9.4886,5.70642701648141,7.55,0.52,40,23,7,145
ks53txx0,155.38,155.38,0,155.38,5,41.37,161.81,1911.99,3588.54,4967.29,-10.5304,7.41859663307406,5.56,0.59,3,17,42,152
ks541xx0,125.43,124.63,0.4,125.03,5,53.28,206.95,1640.36,3405.78,4798.41,-7.1731,6.1593269812406,5.69,0.44,79,15,25,212
ks600xx0,86.24,74.14,6.05,80.19,6,64.4,199.37,1613.7,3352.32,4690.86,-12.9624,7.68324915345027,7.43,0.7,13,22,18,176
ks60dxx0,63.41,60.37,1.52,61.89,6,66.08,200.44,1441.62,3138.99,4574.76,-15.2497,7.90691158069835,6,0.71,20,10,10,139
ks60kxx0,105.06,105.06,0,105.06,6,52.09,276.032776538156,2026.01,3627.71,4954.52,-20.2024,6.15396129303479,3.08,0.21,170,53,4,287
ks60wxx0,81.35,77.85,1.75,79.6,6,64.39,213.09,1541.05,3390.76,4588.69,-14.0075,7.29980983488699,6,0.65,55,23,15,267
ks616xx0,116.18,113.94,1.12,115.06,6,66.14,190.13,1474.39,3141.42,4608.62,-14.1467,7.28615073237106,8.89,0.69,21,13,26,193
ks61gxx0,79.78,78.46,0.66,79.12,6,65.02,335.82145053049,1608.13,3429.55,4708.41,-12.5973,4.29499182982933,3.91,0.23,70,22,8,130
ks62sxx0,72.22,69.78,1.22,71,6,55.76,187.43,1444.35,3212.67,4692.48,-2.3981,7.27168273632309,6.61,0.63,27,25,12,172
ks62xxx0,126.2,121.2,2.5,123.7,6,50.95,225.45,1590.8,3392.36,4752.08,-4.4264,8.12357949253652,7.42,0.75,18,13,26,228
ks632xx0,87.46,87.46,0,87.46,6,50.19,138.68,1667.33,3398.69,4870.73,-6.4442,5.44336346507171,5.27,0.48,57,21,6,161
ks637xx0,115.93,115.93,0,115.93,6,39.07,189.68,1937.64,3614.57,4999.38,-11.6643,6.06638777195649,6.72,0.46,80,43,8,242
ks63cxx0,89.69,89.69,0,89.69,6,45.3,159.87,1756.38,3496.36,4894.81,-8.9499,6.39867075638437,1,0.6,31,9,12,131
ks63hxx0,92.82,90.96,0.93,91.89,6,61.65,265.887150694664,1197.06,2900.21,4485.02,0.9926,6.94820204344911,4.37,0.25,131,37,7,233
ks707xx0,65.57,61.87,1.85,63.72,7,65.82,192.85,1529.52,3165.74,4489.74,-13.4128,6.78870664868901,8.01,0.62,41,17,11,182
ks70exx0,89.06,88.06,0.5,88.56,7,62.71,173.83,1718.22,3414.24,4747.86,-15.5969,7.12568762007911,6.73,0.56,48,25,24,220
ks70kxx0,108.48,106.9,0.79,107.69,7,59.49,153.11,1650.88,3408.33,4683.35,-17.0395,6.00282473039624,5.93,0.6,35,12,26,182
ks70xxx0,76.04,70.98,2.53,73.51,7,58.94,92.41,1836.35,3588.72,4804.51,-17.1906,7.38057491123493,7.2,0.55,54,30,5,198
ks717xx0,104.87,102.05,1.41,103.46,7,71.95,141.35,1338.2,3095.7,4415.74,-8.1003,7.18906935555213,6.7,0.56,75,55,17,333
ks72txx0,135.06,135.06,0,135.06,7,31.82,329.434195178004,2214.21,3781.42,5086,-13.905,7.26064969106605,3.4,0.39,74,31,6,182
ks72yxx0,98.68,96.78,0.95,97.73,7,50.78,210.56,1637.4,3386.77,4801.55,-4.8835,7.73096611573967,6.87,0.73,14,14,15,160
ks733xx0,103.4,101.18,1.11,102.29,7,54.02,172.67,1673.12,3325.07,4851.32,-2.3027,6.14178600283915,6.38,0.6,35,9,21,163
ks738xx0,94.22,91.18,1.52,92.7,7,49.6,193.01,1669.18,3374.84,4776.08,-6.4037,6.66547533481322,7.2,0.6,50,34,8,229
ks803xx0,122.76,115.34,3.71,119.05,8,60.21,117.66,1788.46,3353.84,4746.78,-16.4415,6.50701555328727,5.92,0.49,90,39,9,271
ks80axx0,80.41,80.41,0,80.41,8,58.56,103.72,1813.92,3451.55,4745.82,-18.7865,5.07147466629336,5.43,0.44,79,35,15,231
ks80gxx0,60.88,59.6,0.64,60.24,8,63.01,107.8,1951.11,3523.52,4882.36,-14.3812,7.06206968365238,6.76,0.65,22,15,12,139
